Gene Synonym,Gene name
MGC126227,EFNB2
MGC126228,EFNB2
EPLG8,EFNB3
LERK-8,EFNB3
KIAA0143,EFR3A
FLJ37871,EFR3B
KIAA0953,EFR3B
CASS3,EFS
EFS1,EFS
EFS2,EFS
HEFS,EFS
SIN,EFS
SNRNP116,EFTUD2
SNRP116,EFTUD2
SNU114,EFTUD2
U5-116KD,EFTUD2
C3ORF50,EGFEM1P
NCRNA00259,EGFEM1P
MAEG,EGFL6
ZNEU1,EGFL7
C6ORF8,EGFL8
NG3,EGFL8
AGRINL,EGFLAM
AGRNL,EGFLAM
FLJ39155,EGFLAM
PIKA,EGFLAM
CTD-2108O9.1,EGFLAM-AS1
LNCRNA-LOWEG,EGFLAM-AS1
LNC-EGFR,EGILA
HIFPH1,EGLN2
PHD1,EGLN2
HIFPH3,EGLN3
PHD3,EGLN3
225,EGR1
AT225,EGR1
G0S30,EGR1
KROX-24,EGR1
NGFI-A,EGR1
TIS8,EGR1
ZIF-268,EGR1
KROX20,EGR2
PILOT,EGR3
NGFI-C,EGR4
PAT133,EGR4
FLJ42622,EHD1
FLJ44618,EHD1
H-PAST,EHD1
HPAST1,EHD1
PAST1,EHD1
PAST2,EHD2
PAST3,EHD3
ESE3,EHF
ESEJ,EHF
ECHD,EHHADH
BA188C12.1,EHMT1
EHMT1-IT1,EHMT1
EU-HMTASE1,EHMT1
FLJ12879,EHMT1
FLJ40292,EHMT1
GLP,EHMT1
KIAA1876,EHMT1
KMT1D,EHMT1
BAT8,EHMT2
C6ORF30,EHMT2
EM:AF134726.3,EHMT2
G9A,EHMT2
KMT1C,EHMT2
NG36/G9A,EHMT2
EPG4,EI24
PIG8,EI24
TP53I8,EI24
C15ORF3,EID1
CRI1,EID1
EID-1,EID1
CRI2,EID2
EID-2,EID2
MGC20452,EID2
EID-3,EID2B
FLJ38944,EID2B
HAPONIN,EIF1AD
MGC11102,EIF1AD
EIF-1A,EIF1AX
EIF-4C,EIF1AX
EIF1A,EIF1AX
EIF4C,EIF1AX
EIF1AP1,EIF1AXP1
EIF-2BBETA,EIF2B2
EIF2B,EIF2B2
EIF2BBETA,EIF2B2
EIF-2B,EIF2B5
EIF2BEPSILON,EIF2B5
EIF-2ALPHA,EIF2S1
EIF2,EIF2S1
EIF2A,EIF2S1
EIF2,EIF2S2
EIF2BETA,EIF2S2
PPP1R67,EIF2S2
EIF2S2P,EIF2S2P1
EIF2,EIF2S3
EIF2G,EIF2S3
EIF2GAMMA,EIF2S3
EIF3-P110,EIF3C
EIF3S8,EIF3C
EIF3-P66,EIF3D
EIF3-ZETA,EIF3D
EIF3S7,EIF3D
EIF3-P48,EIF3E
EIF3S6,EIF3E
INT6,EIF3E
EIF3EP,EIF3EP1
EIF3S6P1,EIF3EP1
INT6P1,EIF3EP1
EIF3-EPSILON,EIF3F
EIF3-P47,EIF3F
EIF3S5,EIF3F
EIF3FP,EIF3FP1
EIF3S5P,EIF3FP1
EIF3-DELTA,EIF3G
EIF3-P44,EIF3G
EIF3S4,EIF3G
EIF3-GAMMA,EIF3H
EIF3-P40,EIF3H
EIF3S3,EIF3H
RG208K23,EIF3IP1
EIF3-ALPHA,EIF3J
EIF3-P35,EIF3J
EIF3S1,EIF3J
ARG134,EIF3K
EIF3S12,EIF3K
HSPC029,EIF3K
M9,EIF3K
PLAC-24,EIF3K
PRO1474,EIF3K
PTD001,EIF3K
EIF3EIP,EIF3L
EIF3S11,EIF3L
EIF3S6IP,EIF3L
HSPC021,EIF3L
HSPC025,EIF3L
EIF3EIPP1,EIF3LP1
EIF3S6IPP,EIF3LP1
EIF3EIPP2,EIF3LP2
EIF3S6IPP2,EIF3LP2
FLJ29030,EIF3M
GA17,EIF3M
HFL-B5,EIF3M
PCID1,EIF3M
TANGO7,EIF3M
EIF4A1P,EIF4A1P1
DDX48,EIF4A3
EIF4AIII,EIF4A3
FAL1,EIF4A3
KIAA0111,EIF4A3
EIF4BP,EIF4BP1
FLJ36951,EIF4E1B
DJ1049G11.3,EIF4E2P1
EIF4EL4,EIF4E2P1
MGC39820,EIF4E3
EIF4EBP1P,EIF4EBP1P1
DJ862K6.3,EIF4EBP2P1
EIF4EBP2P,EIF4EBP2P1
4E-BP3,EIF4EBP3
2610509L04RIK,EIF4ENIF1
4E-T,EIF4ENIF1
CLAST4,EIF4ENIF1
FLJ21601,EIF4ENIF1
DJ1022P6.3,EIF4EP1
EIF4EL2,EIF4EP1
EIF4F,EIF4G1
EIF4G,EIF4G1
P220,EIF4G1
PARK18,EIF4G1
EIF-5A,EIF5A
EIF5A1,EIF5A
MGC104255,EIF5A
MGC99547,EIF5A
BA342M3.3,EIF5AL1
EIF5AP1,EIF5AL1
EIF5AL3,EIF5AP4
B(2)GCN,EIF6
EIF3A,EIF6
ITGB4BP,EIF6
P27BBP,EIF6
TSSC1-IT1,EIPR1-IT1
D29,ELAC1
FLJ10530,ELAC2
HPC2,ELAC2
ELA2,ELANE
HLE,ELANE
HNE,ELANE
NE,ELANE
PMN-E,ELANE
EIG121,ELAPOR1
KIAA1324,ELAPOR1
MABA1,ELAPOR1
EIG121L,ELAPOR2
FLJ31340,ELAPOR2
KIAA1324L,ELAPOR2
HEL-N1,ELAVL2
HUB,ELAVL2
DKFZP547J036,ELAVL3
HUC,ELAVL3
HUCL,ELAVL3
MGC20653,ELAVL3
PLE21,ELAVL3
FABL,ELDR
LINC01156,ELDR
ELFR,ELF4
MEF,ELF4
DJ63G5.3,ELFN2
KIAA1904,ELFN2
ELK2,ELK2AP
ELK2.1,ELK2AP
ELK2P1,ELK2AP
ELK2.2,ELK2BP
ELK2P2,ELK2BP
ERP,ELK3
NET,ELK3
SAP2,ELK3
SAP1,ELK4
MRCCAT1,ELL2
FLJ22637,ELL3
CED-12,ELMO2
CED12,ELMO2
ELMO-2,ELMO2
FLJ11656,ELMO2
KIAA1834,ELMO2
CED-12,ELMO3
CED12,ELMO3
ELMO-3,ELMO3
FLJ13824,ELMO3
DKFZP547C176,ELMOD1
MGC10084,ELMOD2
HST832,ELOA2
TCEB3B,ELOA2
TCEB3L,ELOA2
ELOA3B,ELOA3BP
HST828,ELOA3BP
TCEB3CL,ELOA3BP
ELOA3C,ELOA3CP
ELOA3D,ELOA3DP
TCEB3CL2,ELOA3DP
ELOA3,ELOA3P
ELOA3A,ELOA3P
ELOA3AP,ELOA3P
HST829,ELOA3P
TCEB3C,ELOA3P
TCEB3L2,ELOA3P
TCEB2P1,ELOBP1
TCEB2P3,ELOBP3
SIII,ELOC
TCEB1,ELOC
TCEB1P2,ELOCP2
DJ254P11.1,ELOCP3
TCEB1P3,ELOCP3
TCEB1P4,ELOCP4
TCEB1P5,ELOCP5
TCEB1P6,ELOCP6
TCEB1P7,ELOCP7
TCEB1P8,ELOCP8
TCEB1P9,ELOCP9
TCEB1P10,ELOCP10
TCEB1P11,ELOCP11
TCEB1P12,ELOCP12
TCEB1P13,ELOCP13
TCEB1P14,ELOCP14
TCEB1P15,ELOCP15
TCEB1P16,ELOCP16
TCEB1P17,ELOCP17
TCEB1P18,ELOCP18
TCEB1P19,ELOCP19
TCEB1P20,ELOCP20
TCEB1P22,ELOCP22
TCEB1P23,ELOCP23
TCEB1P24,ELOCP24
TCEB1P25,ELOCP24
TCEB1P26,ELOCP26
TCEB1P27,ELOCP27
TCEB1P28,ELOCP28
TCEB1P30,ELOCP30
TCEB1P34,ELOCP34
TCEB1P35,ELOCP35
CIG-30,ELOVL3
CT118,ELOVL4
SCA34,ELOVL4
STGD2,ELOVL4
STGD3,ELOVL4
DJ483K16.1,ELOVL5
HELO1,ELOVL5
SCA38,ELOVL5
FLJ23378,ELOVL6
LCE,ELOVL6
MGC5487,ELOVL6
FLJ23563,ELOVL7
DYS,ELP1
IKAP,ELP1
IKBKAP,ELP1
IKI3,ELP1
TOT1,ELP1
FLJ10879,ELP2
STATIP1,ELP2
STIP,ELP2
C11ORF19,ELP4
PAXNEB,ELP4
C17ORF81,ELP5
DERP6,ELP5
MGC71745,EMB
KIAA0103,EMC2
TTC35,EMC2
FLJ90746,EMC4
MGC24415,EMC4
PIG17,EMC4
TMEM85,EMC4
C11ORF3,EMC7
C15ORF24,EMC7
C14ORF122,EMC9
CGI-112,EMC9
FAM158A,EMC9
MUC14,EMCN
LEMD5,EMD
STA,EMD
EMI5,EMID1
EMU1,EMID1
HEMU1,EMID1
FLJ33200,EMILIN2
FOAP-10,EMILIN2
C20ORF130,EMILIN3
DJ620E11.4,EMILIN3
EMILIN5,EMILIN3
C19ORF83,EML2-AS1
C2ORF2,EML4
ELP120,EML4
ROPP120,EML4
EMS,EMSLR
EMX2-AS1,EMX2OS
NCRNA00045,EMX2OS
AIH2,ENAM
P11,ENDOU
PP11,ENDOU
PRSS26,ENDOU
C9ORF165,ENHO
UNQ470,ENHO
C10ORF63,ENKUR
CFAP106,ENKUR
ENKURIN,ENKUR
MGC26778,ENKUR
NSE,ENO2
AC023283.3,ENO4
C10ORF134,ENO4
FUCD,ENOSF1
HSRTSBETA,ENOSF1
RTS,ENOSF1
TYMSAS,ENOSF1
CCNOX,ENOX1
CNOX,ENOX1
FLJ10094,ENOX1
PIG38,ENOX1
APK1,ENOX2
COVA1,ENOX2
TNOX,ENOX2
M6S1,ENPP1
NPPS,ENPP1
PC-1,ENPP1
PCA1,ENPP1
PDNP1,ENPP1
ATX,ENPP2
PD-IALPHA,ENPP2
PDNP2,ENPP2
AP3AASE,ENPP4
KIAA0879,ENPP4
NPP4,ENPP4
MGC33971,ENPP6
DJ822J19.1,ENSAP1
ENSAP,ENSAP1
FLJ25421,ENTHD1
ATPDASE,ENTPD1
CD39,ENTPD1
NTPDASE-1,ENTPD1
SPG64,ENTPD1
CD39L1,ENTPD2
NTPDASE-2,ENTPD2
KIAA0392,ENTPD4
LALP70,ENTPD4
LAP70,ENTPD4
LYSAL1,ENTPD4
NTPDASE-4,ENTPD4
UDPASE,ENTPD4
CD39L2,ENTPD6
DJ738P15.3,ENTPD6
IL6ST2,ENTPD6
NTPDASE-6,ENTPD6
NTPDASE-8,ENTPD8
UNQ2492,ENTPD8
NY-CO-3,ENTR1
SDCCAG3,ENTR1
SDCCAG3L,ENTR1P1
SDCCAG3P1,ENTR1P1
C9ORF61,ENTREP1
ENTREP,ENTREP1
FAM189A2,ENTREP1
X123,ENTREP1
FAM189A1,ENTREP2
KIAA0574,ENTREP2
TMEM228,ENTREP2
C1ORF2,ENTREP3
COTE1,ENTREP3
FAM189B,ENTREP3
DC6,ENY2
FLJ20480,ENY2
SUS1,ENY2
CXORF40,EOLA1
CXORF40A,EOLA1
LINC00893,EOLA1-DT
CXORF40B,EOLA2
LINC00894,EOLA2-DT
KAT3B,EP300
P300,EP300
EP400NL,EP400P1
FLJ33915,EP400P1
BHLHE73,EPAS1
HIF2A,EPAS1
HLF,EPAS1
MOP2,EPAS1
PASD2,EPAS1
4.1N,EPB41L1
KIAA0338,EPB41L1
4.1B,EPB41L3
DAL1,EPB41L3
KIAA0987,EPB41L3
NBL4,EPB41L4A
EPB41L4A-AS2,EPB41L4A-DT
FLJ11235,EPB41L4A-DT
BE37,EPB41L5
FLJ12957,EPB41L5
KIAA1548,EPB41L5
LULU,EPB41L5
LULU1,EPB41L5
YMO1,EPB41L5
YRT,EPB41L5
MGC116735,EPB42
MGC116737,EPB42
PA,EPB42
EPL1,EPC1
HEPG5,EPG5
KIAA1632,EPG5
EPH,EPHA1
EPHT,EPHA1
EPHT1,EPHA1
ECK,EPHA2
ETK,EPHA3
ETK1,EPHA3
HEK,EPHA3
HEK4,EPHA3
TYRO4,EPHA3
CEK7,EPHA5
EHK1,EPHA5
HEK7,EPHA5
TYRO4,EPHA5
HEK11,EPHA7
ETK2,EPHB3
HEK2,EPHB3
TYRO6,EPHB3
HTK,EPHB4
TYRO11,EPHB4
HEP,EPHB6
ABHD9,EPHX3
FLJ22408,EPHX3
LNC-EPIC1,EPIC1
LD,EPM2A
LDE,EPM2A
EP,EPO
C17ORF96,EPOP
LOC100170841,EPOP
PRR28,EPOP
CT71,EPPIN
DJ461P17.2,EPPIN
EPPIN1,EPPIN
EPPIN2,EPPIN
EPPIN3,EPPIN
SPINLW1,EPPIN
WAP7,EPPIN
WFDC7,EPPIN
SPINLW1-WFDC6,EPPIN-WFDC6
EPIPL1,EPPK1
EPS15R,EPS15L1
EPS15L2,EPS15P1
PRO1866,EPS15P1
BRESI1,EPSTI1
MGC29634,EPSTI1
EPO,EPX
EPP,EPX
EPX-PEN,EPX
DSPG3,EPYC
PG-LB,EPYC
SLRR3B,EPYC
AFAF,EQTN
C9ORF11,EQTN
EQUATORIN,EQTN
SPACA8,EQTN
A-LAP,ERAP1
ARTS-1,ERAP1
ERAAP1,ERAP1
KIAA0525,ERAP1
PILS-AP,ERAP1
HRAS2,ERAS
HRASP,ERAS
ERCM2,ERCC5
XPGC,ERCC5
ARMD5,ERCC6
CKN2,ERCC6
CSB,ERCC6
RAD26,ERCC6
PE-2,ERF
PE2,ERF
ERG-3,ERG
P55,ERG
C14ORF1,ERG28
NET51,ERG28
C20ORF47,ERGIC3
CGI-54,ERGIC3
ERV46,ERGIC3
NY-BR-84,ERGIC3
PRO0989,ERGIC3
SDBCAG84,ERGIC3
3'HEXO,ERI1
THEX1,ERI1
C19ORF69,ERICH4
LOC100170765,ERICH4
C8ORF47,ERICH5
FLJ39553,ERICH5
C3ORF44,ERICH6
ERICH6A,ERICH6
FAM194A,ERICH6
MGC39662,ERICH6
FAM194B,ERICH6B
FLJ32682,ERICH6B
ELNCRNA1,ERLNC1
TC0101441,ERLNC1
C6ORF70,ERMARD
DJ266L20.3,ERMARD
FLJ11152,ERMARD
FLJ23309,ERMP1
FXNA,ERMP1
KIAA1815,ERMP1
ERO1-ALPHA,ERO1A
ERO1ALPHA,ERO1A
ERO1L,ERO1A
ERP28P,ERP29P1
ERVE1,ERVE-1
HERV-E1,ERVE-1
HERVE1,ERVE-1
TCONS_00025599,ERVE-1
HERV-H4P15.2,ERVH-1
C21ORF105,ERVH48-1
NDUFV3-AS1,ERVH48-1
SUPYN,ERVH48-1
ENVMER34,ERVMER34-1
ENVV2,ERVV-2
ENVW,ERVW-1
ERVWE1,ERVW-1
HERV-7Q,ERVW-1
HERV-W,ERVW-1
HERV-W-ENV,ERVW-1
HERVW,ERVW-1
EFO1,ESCO1
ESO1,ESCO1
KIAA1911,ESCO1
BA526K24.1,ESF1
C20ORF6,ESF1
ER-BETA,ESR2
ERB,ESR2
NR3A2,ESR2
FLJ21918,ESRP2
RBM35B,ESRP2
ESRRAP,ESRRAP1
ESTRRA,ESRRAP2
DFNB35,ESRRB
ERR2,ESRRB
ERRB,ESRRB
ERRBETA,ESRRB
ESRL2,ESRRB
NR3B2,ESRRB
BIS1,ESS2
DGCR13,ESS2
DGCR14,ESS2
DGS-H,ESS2
DGSI,ESS2
ES2,ESS2
ES2EL,ESS2
ESS-2,ESS2
ESX1L,ESX1
ESXR1,ESX1
CHR3SYT,ESYT3
FAM62C,ESYT3
ETAA16,ETAA1
LINC00633,ETDB
HCGVII,ETF1P1
SUP45L2,ETF1P1
SUP45L3,ETF1P2
SUP45L4,ETF1P3
C12ORF72,ETFBKMT
DKFZP451L235,ETFBKMT
METTL20,ETFBKMT
MGC50559,ETFBKMT
ETFQO,ETFDH
EKI,ETNK1
EKI1,ETNK1
AGXT2L1,ETNPPL
ERM,ETV5
TEL,ETV6
TEL-2,ETV7
TEL2,ETV7
FAM176A,EVA1A
FLJ13391,EVA1A
TMEM166,EVA1A
EVA1A-AS1,EVA1A-AS
B18,EVA1C
B19,EVA1C
C21ORF63,EVA1C
C21ORF64,EVA1C
FAM176C,EVA1C
PRED34,EVA1C
LBN,EVC2
CD361,EVI2B
D17S376,EVI2B
EVDB,EVI2B
EVPK,EVPL
EWS,EWSR1
EXDL1,EXD1
MGC33637,EXD1
FLJ20433,EXD3
LOC54932,EXD3
MUT-7,EXD3
NBR,EXD3
FLJ11026,EXOC2
SEC5,EXOC2
SEC5L1,EXOC2
SEC6,EXOC3
SEC6L1,EXOC3
EXOC3L,EXOC3L1
FLJ35539,EXOC3L1
FLJ35587,EXOC3L1
SEC10,EXOC5
SEC10L1,EXOC5
SEC10P,EXOC5
DKFZP761I2124,EXOC6
EXOC6A,EXOC6
FLJ1125,EXOC6
MGC33397,EXOC6
SEC15,EXOC6
SEC15L,EXOC6
SEC15L1,EXOC6
BLOM4,EXOC7
EXO70,EXOC7
EXO70P,EXOC7
KIAA1067,EXOC7
YJL085W,EXOC7
CGI-108,EXOSC1
CSL4,EXOSC1
CSL4P,EXOSC1
HCSL4P,EXOSC1
P13,EXOSC1
SKI4,EXOSC1
SKI4P,EXOSC1
HRRP4P,EXOSC2
P7,EXOSC2
RRP4,EXOSC2
RRP4P,EXOSC2
CGI-102,EXOSC3
HRRP-40,EXOSC3
HRRP40P,EXOSC3
P10,EXOSC3
RRP40,EXOSC3
RRP40P,EXOSC3
EAP4,EXOSC6
HMTR3P,EXOSC6
MTR3,EXOSC6
MTR3P,EXOSC6
P11,EXOSC6
BA421P11.3,EXOSC8
CIP3,EXOSC8
EAP2,EXOSC8
OIP2,EXOSC8
P9,EXOSC8
RRP43,EXOSC8
RRP43P,EXOSC8
P5,EXOSC9
P6,EXOSC9
PM/SCL-75,EXOSC9
PMSCL1,EXOSC9
RRP45,EXOSC9
RRP45P,EXOSC9
LGCR,EXT1
LGS,EXT1
TTV,EXT1
EXTL,EXTL1
MGC70794,EXTL1
EXTL2P,EXTL2P1
C8ORF50,EXTL3-AS1
BOR,EYA1
EAB1,EYA2
DKFZP686C132,EYA3
BA166P24.2,EYS
BA307F22.3,EYS
BA74E24.1,EYS
C6ORF178,EYS
C6ORF179,EYS
C6ORF180,EYS
DJ1018A4.2,EYS
DJ303F19.1,EYS
EGFL10,EYS
EGFL11,EYS
RP25,EYS
SPAM,EYS
CATACOMB,EZHIP
CXORF67,EZHIP
CD142,F3
TF,F3
DXS1253E,F8
F8C,F8
FVIII,F8
HEMA,F8
DXS522E,F8A1
F8A,F8A1
FIX,F9
F13A,F13A1
FXIIIB,F13B
FAAH,FA2H
FAXDC1,FA2H
FLJ25287,FA2H
SPG35,FA2H
AMDD,FAAH2
FAAH-2,FAAH2
FLJ31204,FAAH2
RP11-479E16.1,FAAH2
C17ORF70,FAAP100
FLJ22175,FAAP100
L-FABP,FABP1
FABP11,FABP3
H-FABP,FABP3
MDGI,FABP3
O-FABP,FABP3
FABP3-PS,FABP3P2
FABP3P,FABP3P2
A-FABP,FABP4
AP2,FABP4
E-FABP,FABP5
KFABP,FABP5
PA-FABP,FABP5
FABP5,FABP5P1
FABP5L1,FABP5P1
FABP5L2,FABP5P2
FABP5L3,FABP5P3
TCAG_1781704,FABP5P3
FABP5L4,FABP5P4
FABP5L5,FABP5P5
FABP5L7,FABP5P7
FABP5L8,FABP5P8
FABP5L10,FABP5P10
FABP5L11,FABP5P11
FABP5P1,FABP5P11
FABP5L12,FABP5P12
FABP5L13,FABP5P13
FABP5L15,FABP5P15
I-15P,FABP6
I-BABP,FABP6
I-BALB,FABP6
I-BAP,FABP6
ILBP,FABP6
ILBP3,FABP6
ILLBP,FABP6
B-FABP,FABP7
BLBP,FABP7
PERF,FABP9
PERF15,FABP9
T-FABP,FABP9
D5D,FADS1
FADS6,FADS1
FADSD5,FADS1
LLCDL1,FADS1
TU12,FADS1
FADS2P1,FADS2B
CYB5RP,FADS3
LLCDL3,FADS3
CGI-105,FAHD2A
DKFZP434N062,FAHD2B
2-19,FAM3A
DXS560S,FAM3A
XAP-7,FAM3A
2-21,FAM3B
C21ORF11,FAM3B
C21ORF76,FAM3B
D21M16SJHU19E,FAM3B
ORF9,FAM3B
PANDER,FAM3B
PRED44,FAM3B
GS3876,FAM3C
ILEI,FAM3C
FAM3C2,FAM3C2P
EF7,FAM3D
OIT1,FAM3D
LNC-KCTD6-3,FAM3D-AS1
FAM8A8P,FAM8A4P
TEX39A,FAM9A
TEX39B,FAM9B
TEX39C,FAM9C
ARHGAP48,FAM13A
FAM13A1,FAM13A
KIAA0914,FAM13A
FAM13A1OS,FAM13A-AS1
FAM13AOS,FAM13A-AS1
NCRNA00039,FAM13A-AS1
FAM13C1,FAM13C
DKFZP547D065,FAM20C
DMP4,FAM20C
G-CK,FAM20C
IMAGE:4942737,FAM20C
AC073585.4,FAM24A
AC073585.2,FAM24B
MGC45962,FAM24B
BA96C23.5,FAM25A
BA164N7.4,FAM25C
BA301J7.4,FAM25G
BA12A20.3,FAM27B
FAM27A2,FAM27B
BA374M1.5,FAM27C
BA7G23.5,FAM27C
FAM27A,FAM27C
FAM27A1,FAM27C
FAM27A3,FAM27C
MGC42630,FAM27E3
C14ORF110,FAM30A
HSPC053,FAM30A
KIAA0125,FAM30A
HST16028,FAM30B
KIAA0125P1,FAM30B
HST16041,FAM30C
KIAA0125P2,FAM30C
DKFZP586O0120,FAM32A
OTAG-12,FAM32A
FAM32B,FAM32BP
FAM32C,FAM32CP
FAM32D,FAM32DP
FAM32E,FAM32EP
FAM41AY,FAM41AY1
MGC27003,FAM47A
FLJ35782,FAM47B
9F,FAM50A
DXS9928E,FAM50A
HXC-26,FAM50A
XAP5,FAM50A
D6S2654E,FAM50B
X5L,FAM50B
BA12J10.2,FAM53B
KIAA0140,FAM53B
SMP,FAM53B
C5ORF6,FAM53C
FAM74A5,FAM74A1
OTTHUMG00000067149,FAM74A3
FAM74A2,FAM74A4
FLJ45202,FAM74A4
MGC33371,FAM76B
MGC26690,FAM81A
BJ-TSA-9,FAM83A
MGC14128,FAM83A
AC068228.1,FAM83A-AS2
C6ORF143,FAM83B
FLJ30642,FAM83B
C20ORF128,FAM83C
DJ614O4.7,FAM83C
C20ORF120,FAM83C-AS1
DJ614O4.3,FAM83C-AS1
NCRNA00154,FAM83C-AS1
C20ORF129,FAM83D
CHICA,FAM83D
DJ616B8.3,FAM83D
FLJ46072,FAM83H
LNCRNA-HEIM,FAM85B
FAM86D,FAM86DP
FAM90A3,FAM90A3P
FAM90A7P,FAM90A7
FAM90A9P,FAM90A9
FAM90A10P,FAM90A10
FAM90A14P,FAM90A14
FAM90A16P,FAM90A16
FAM90A19P,FAM90A19
FAM90A20,FAM90A20P
FAM90A22P,FAM90A22
FAM90A23P,FAM90A23
FLJ23790,FAM91A1
FLJ42833,FAM99A
DKFZP781M09150,FAM99B
CXORF44,FAM104B
FLJ20434,FAM104B
FLJ11800,FAM106A
DRR1,FAM107A
TU3A,FAM107A
C10ORF45,FAM107B
FLJ45505,FAM107B
HITS,FAM107B
MGC11034,FAM107B
BA371L19.3,FAM110A
C20ORF55,FAM110A
C8ORF72,FAM110B
MGC39325,FAM110B
FLJ14050,FAM110D
GRRP1,FAM110D
CANP,FAM111B
133K02,FAM114A2
C5ORF3,FAM114A2
BK268H5.C22.4,FAM118A
C22ORF8,FAM118A
FLJ20635,FAM118A
FLJ21103,FAM118B
C9ORF10OS,FAM120AOS
CCPG,FAM120B
KIAA1838,FAM120B
PGCC1,FAM120B
SAN1,FAM120B
CXORF17,FAM120C
FLJ20506,FAM120C
ORF34,FAM120C
FLJ30707,FAM124A
FLJ22746,FAM124B
C3ORF40,FAM131A
MGC21688,FAM131A
CT115,FAM133A
FLJ37659,FAM133A
RP1-32F7.2,FAM133A
MGC40405,FAM133B
FLJ20176,FAM135A
KIAA1411,FAM135A
C6ORF87,FAM136BP
DJ40E16.3,FAM136BP
FAM136B,FAM136BP
F379,FAM138B
F379,FAM138C
F379,FAM138D
F379,FAM138E
F379,FAM138F
KIAA0974,FAM149B1
C1ORF179,FAM151A
MGC27169,FAM151A
UNQ9217,FAM151B
PRO0659,FAM156A
TMEM29,FAM156A
TMEM29B,FAM156B
GTF2IP18,FAM157A
BA86F4.2,FAM162B
C6ORF189,FAM162B
C2ORF70,FAM166C
LOC339778,FAM166C
C8ORF13,FAM167A
DIORA-1,FAM167A
C8ORF12,FAM167A-AS1
FAM169B,FAM169BP
FLJ39743,FAM169BP
KIAA0888L,FAM169BP
APCN,FAM171A1
C10ORF38,FAM171A1
FLJ12884,FAM171A1
C5ORF21,FAM172A
DKFZP564D172,FAM172A
TOUPEE,FAM172A
FAM172B,FAM172BP
FLJ45679,FAM172BP
LOC131909,FAM172BP
NS5ATP6,FAM174A
TMEM157,FAM174A
UNQ1912,FAM174A
LOC51252,FAM178B
HWKM1940,FAM180A
UNQ1940,FAM180A
LOC399888,FAM180B
C14ORF152,FAM181A
C14ORF86,FAM181A-AS1
BB329D4.1,FAM182A
C20ORF91,FAM182A
C20ORF91A,FAM182A
FAM183B,FAM183BP
LOC340286,FAM183BP
C6ORF60,FAM184A
FLJ13942,FAM184A
KIAA1276,FAM184B
LOC121006,FAM186A
FAM192B,FAM192BP
RCNIP30,FAM192BP
FAM197Y1P,FAM197Y1
CYORF16,FAM197Y2
FAM197Y2P,FAM197Y2
FAM197Y4P,FAM197Y4
FAM197Y5P,FAM197Y5
FAM197Y7P,FAM197Y7
CXORF39,FAM199X
C7ORF38,FAM200A
DKFZP727G131,FAM200A
FLJ36794,FAM200A
C4ORF53,FAM200B
BUSTER3,FAM200C
C5ORF54,FAM200C
ZBED8,FAM200C
C9ORF122,FAM201A
BA319I23.1,FAM204A
C10ORF84,FAM204A
FLJ13188,FAM204A
C9ORF144B,FAM205A
FAM205CP,FAM205C
C20ORF106,FAM209A
DJ1153D9.3,FAM209A
C20ORF107,FAM209B
DJ1153D9.4,FAM209B
C18ORF19,FAM210A
HST2329,FAM210A
MGC24180,FAM210A
C20ORF108,FAM210B
DJ1167H4.1,FAM210B
DKFZP434A1114,FAM210B
ARL17A-IT1,FAM215B
C13ORF30,FAM216B
FLJ40919,FAM216B
C6ORF146,FAM217A
MGC43581,FAM217A
C20ORF177,FAM217B
DJ551D2.5,FAM217B
C4ORF39,FAM218A
FLJ31659,FAM218A
TRIM61-AS1,FAM218A
BA573M23.5,FAM219A
C9ORF25,FAM219A
FLJ39031,FAM219A
BA392E22.4,FAM220BP
C9ORF51,FAM220BP
C9ORF128,FAM221B
C12ORF34,FAM222A
FLJ14721,FAM222A
LINC00230A,FAM224A
NCRNA00230A,FAM224A
LINC00230B,FAM224B
NCRNA00230B,FAM224B
C9ORF109,FAM225A
DKFZP686A0127,FAM225A
LINC00256A,FAM225A
NCRNA00256A,FAM225A
C9ORF110,FAM225B
LINC00256B,FAM225B
NCRNA00256B,FAM225B
CXORF50B,FAM226B
LINC00246B,FAM226B
NCRNA00246B,FAM226B
C15ORF33,FAM227B
FLJ32800,FAM227B
C6ORF225,FAM229B
DKFZP586F0922,FAM229B
LOC619208,FAM229B
DGCR15,FAM230A
FLJ46366,FAM230B
DKFZP434B061,FAM230C
LINC00281,FAM230C
NCRNA00281,FAM230C
AC008079.1,FAM230D
LINC02592,FAM230D
LINC01662,FAM230E
LINC01663,FAM230F
AC007731.1,FAM230G
AP000552.1,FAM230H
LINC01658,FAM230I
LINC01660,FAM230J
C16ORF9,FAM234A
DKFZP761D0211,FAM234A
FLJ32603,FAM234A
ITFG3,FAM234A
DMRTC1-AS1,FAM236A
LINC00684,FAM236A
C10ORF35,FAM241B
LINC01598,FAM242A
TCONS_00028363,FAM242A
LINC00864,FAM245A
KIAA1018,FAN1
MTMR15,FAN1
FAAP95,FANCB
FAB,FANCB
FLJ34064,FANCB
C3ORF24,FANCD2OS
MGC40179,FANCD2OS
FAF,FANCF
LOC440905,FAR2P1
CDEP,FARP1
GLCC1,FARP1
MGC87400,FARP1
PLEKHC2,FARP1
PPP1R75,FARP1
FIR,FARP2
FRG,FARP2
KIAA0793,FARP2
PLEKHC3,FARP2
DJ236A3.1,FARS2
FARS1,FARS2
MTPHERS,FARS2
CML33,FARSA
